LONGITUDE	LATITUDE	LABEL	ELEVATION	KML_FOLDER	open
"64ø 10' 33.3725"" W"	"31ø 25' 3.2139"" S"	Bv. Guzman y Rosario de Santa F‚		L31 ida	1
"64ø 10' 29.3156"" W"	"31ø 25' 21.2173"" S"	Bv. Juan D Peron (terminal)		L31 ida	1
"64ø 10' 21.0794"" W"	"31ø 25' 28.0497"" S"	Bv. Juan D Peron y Lugones		L31 ida	1
"64ø 10' 10.4115"" W"	"31ø 25' 39.3310"" S"	Bajada Pucara (Hosp. San Roque)		L31 ida	1
"64ø 10' 9.8738"" W"	"31ø 25' 41.0378"" S"	L31 Polo Sanitario		L31 Regreso	1
"64ø 10' 10.1248"" W"	"31ø 25' 37.0008"" S"	Bajada Pucara (Fte. Hosp. San Roque)		L31 Regreso	
"64ø 10' 21.4837"" W"	"31ø 25' 27.1720"" S"	Bv. Juan D. Peron y Lugones		L31 Regreso	
"64ø 10' 29.5393"" W"	"31ø 25' 19.4035"" S"	Bv. Juan D. Peron (Fte A Terminal)		L31 Regreso	
"64ø 10' 37.1960"" W"	"31ø 25' 9.1758"" S"	San Jer¢nimo al 500		L31 Regreso	
"64ø 10' 46.2715"" W"	"31ø 25' 6.7952"" S"	San Jeronimo al 300		L31 Regreso	
"64ø 11' 12.8662"" W"	"31ø 24' 58.6494"" S"	27 de Abril al 100		L31 Regreso	
"64ø 11' 21.1378"" W"	"31ø 25' 15.3759"" S"	Av V‚lez Sarsfield al 400		L31 Regreso	
"64ø 11' 24.4340"" W"	"31ø 25' 23.1651"" S"	Av V‚lez Sarsfield al 600		L31 Regreso	1
"64ø 11' 29.1776"" W"	"31ø 25' 34.4266"" S"	Av V‚lez Sarsfield al 900		L31 Regreso	1
"64ø 11' 32.8009"" W"	"31ø 25' 42.9854"" S"	Av V‚lez Sarsfield al 1100		L31 Regreso	1
"64ø 11' 37.4211"" W"	"31ø 25' 54.1122"" S"	Av V‚lez Sarsfield  1400		L31 Regreso	1
"64ø 11' 47.3098"" W"	"31ø 25' 54.4721"" S"	Richarsond al 300		L31 Regreso	1
"64ø 11' 59.1734"" W"	"31ø 25' 55.5831"" S"	Santa Maria 1600		L31 Regreso	1
"64ø 11' 56.8318"" W"	"31ø 26' 8.2495"" S"	Santa Maria al 1900		L31 Regreso	
"64ø 11' 58.1327"" W"	"31ø 26' 14.6694"" S"	Ayacucho y Martin Ferreyra		L31 Regreso	
"64ø 12' 0.7142"" W"	"31ø 26' 25.9691"" S"	Ayacucho y Finochieto		L31 Regreso	
"64ø 12' 8.8216"" W"	"31ø 26' 26.5151"" S"	Finochietto al 500		L31 Regreso	
"64ø 12' 14.6793"" W"	"31ø 26' 33.4748"" S"	Corro al 2700		L31 Regreso	1
"64ø 12' 14.2815"" W"	"31ø 26' 38.2048"" S"	Corro al 2900		L31 Regreso	
"64ø 12' 26.1901"" W"	"31ø 26' 43.3139"" S"	San Antonio al 700		L31 Regreso	
"64ø 12' 31.9101"" W"	"31ø 26' 45.7257"" S"	Dr. Manuel Parga al 3200		L31 Regreso	1
"64ø 12' 32.7494"" W"	"31ø 26' 52.4226"" S"	Dr. Manuel Parga al 3400		L31 Regreso	1
"64ø 12' 33.7352"" W"	"31ø 26' 58.5666"" S"	Dr. Manuel Parga al 3600		L31 Regreso	1
"64ø 12' 35.8782"" W"	"31ø 27' 6.1168"" S"	Dr. Manuel Parga al 3700		L31 Regreso	1
"64ø 12' 39.1410"" W"	"31ø 27' 12.3996"" S"	Dr. Manuel Parga al 4000		L31 Regreso	1
"64ø 12' 34.2925"" W"	"31ø 27' 16.5931"" S"	Villavicencio al 700		L31 Regreso	1
"64ø 12' 31.5875"" W"	"31ø 27' 24.3611"" S"	Av. Armada Argentina y Huiliches		L31 Regreso	
"64ø 12' 45.3865"" W"	"31ø 27' 22.8886"" S"	Huiliches y La Banda		L31 Regreso	
"64ø 12' 57.8244"" W"	"31ø 27' 20.4072"" S"	Huiliches y Treviso		L31 Regreso	
"64ø 13' 3.3185"" W"	"31ø 27' 19.3849"" S"	Huiliches y Rio Negro		L31 Regreso	1
"64ø 13' 8.0723"" W"	"31ø 27' 24.6532"" S"	Calle Publica s/n		L31 Regreso	1
"64ø 13' 13.5912"" W"	"31ø 27' 18.4173"" S"	Calle Publica s/n		L31 Regreso	1
"64ø 13' 20.1713"" W"	"31ø 27' 14.9509"" S"	Calle Publica s/n		L31 Regreso	1
"64ø 13' 26.4305"" W"	"31ø 27' 16.8826"" S"	Calle Publica s/n		L31 Regreso	1
"64ø 13' 29.4421"" W"	"31ø 27' 16.6467"" S"	Calle Publica s/n		L31 Regreso	1
"64ø 13' 27.4158"" W"	"31ø 27' 23.4052"" S"	Calle Publica s/n		L31 Regreso	1
"64ø 13' 22.3546"" W"	"31ø 27' 28.8037"" S"	Calle Publica s/n		L31 Regreso	1
"64ø 13' 14.8235"" W"	"31ø 27' 32.0060"" S"	Piamonte (Fte a la Plaza)		L31 Regreso	1
"64ø 13' 6.4500"" W"	"31ø 27' 33.0486"" S"	Piamonte y Treviso		L31 Regreso	1
"64ø 13' 1.3013"" W"	"31ø 27' 37.0491"" S"	Piamonte y Sicilia		L31 Regreso	1
"64ø 13' 27.6273"" W"	"31ø 27' 57.5253"" S"	Lago Argentino al 1800		L31 Regreso	1
"64ø 13' 32.7338"" W"	"31ø 27' 53.0319"" S"	Lago Argentino al 2100		L31 Regreso	1
"64ø 13' 41.7240"" W"	"31ø 27' 57.5121"" S"	Av Casado al 1700		L31 Regreso	1
"64ø 13' 46.0499"" W"	"31ø 28' 1.0560"" S"	Av Casado al 1800		L31 Regreso	1
"64ø 13' 52.9439"" W"	"31ø 28' 6.7037"" S"	Av Casado al 2000		L31 Regreso	1
"64ø 13' 58.4146"" W"	"31ø 28' 2.3913"" S"	Ralico y El Tajamar		L31 Regreso	1
"64ø 14' 3.3340"" W"	"31ø 27' 58.3999"" S"	Ralico y C de Luque		L31 Regreso	1
"64ø 14' 8.8685"" W"	"31ø 27' 50.7255"" S"	Burruyaco		L31 Regreso	
"64ø 14' 13.6720"" W"	"31ø 27' 48.7957"" S"	Colonia Impira y Loncopueyo		L31 Regreso	1
"64ø 14' 18.8984"" W"	"31ø 27' 49.6098"" S"	2 de Septiembre y Colonia Impira		L31 Regreso	1
"64ø 14' 18.6911"" W"	"31ø 27' 56.7125"" S"	2 de Septiembre y Chavisacate		L31 Regreso	1
"64ø 14' 19.4624"" W"	"31ø 28' 14.9032"" S"	2 septiembre y Tilquincho		L31 Regreso	1
"64ø 14' 17.2286"" W"	"31ø 28' 22.0499"" S"	L32 (PP)		L32 ida	1
"64ø 14' 13.3405"" W"	"31ø 28' 22.1148"" S"	Renault Argentina al 2200		L32 ida	1
"64ø 13' 57.5212"" W"	"31ø 28' 11.2822"" S"	Av. Casado 2100		L32 ida	1
"64ø 13' 50.6970"" W"	"31ø 28' 5.7001"" S"	Av. Casado 2000		L32 ida	1
"64ø 13' 45.8216"" W"	"31ø 28' 1.7060"" S"	Av. Casado al 1800		L32 ida	1
"64ø 13' 39.3215"" W"	"31ø 27' 56.9891"" S"	Av. Casado al 1700		L32 ida	1
"64ø 13' 39.3215"" W"	"31ø 27' 56.9891"" S"	Av. Casado al 1600		L32 ida	1
"64ø 13' 29.7045"" W"	"31ø 27' 56.5600"" S"	Lago Argentino al 1900		L32 ida	1
