stop_id,stop_lat,stop_lon,stop_calle,stop_esquina
8449,-31.30946611219926,-64.1824353150301,De Los Valsecitos 200,Esq. De La Huella
8450,-31.31030185167672,-64.18112868670335,De Los Valcesitos 400,Esq. De La Media Caña
8451,-31.31103735804894,-64.17993764836629,De Los Valcesitos 600,Esq. Del Cielito
8452,-31.31115209258926,-64.17790064516466,Del Chamame S/N,Esq. De La Jota
8453,-31.30880420554021,-64.17629433430272,El Mangrullo 120,Esq. Ibarsegura Funes
7159,-31.3124382760552,-64.17621929159658,Av. Juan B. Justo 9300,Esq. El Guardamonte (Plaza Guiñazu)
7160,-31.31589006775073,-64.17596160007649,Av. Juan B. Justo 8863,Esq. El Charango
7161,-31.32043908638818,-64.17588395674808,Av. Juan B. Justo 8645,Entre De La Ocariña Y Raul Felipe Lucini
7162,-31.32455973959322,-64.17589203363458,Av. Juan B. Justo 8500,Esq. Agustin Paolucci (Fte. Escuela) Regreso
7163,-31.32972216129084,-64.1758730776046,Av. Juan B. Justo 8003,Fte. Ingreso Villa Grande
7164,-31.33226876613735,-64.1758287121613,Av. Juan B. Justo 7800,
7165,-31.33507461048525,-64.17579549448334,Av. Juan B. Justo 7209,Esq. Ana Riglos De Yrigoyen
8454,-31.33613756988656,-64.17816008963123,Av Japon 120,Entre Av. Juan B. Justo Y Calle 14
8455,-31.33692092545737,-64.17982662459579,Alicia M. De Justo 7000,Esq. Paez Regreso
8456,-31.33891495231614,-64.1798644370347,Alicia M. De Justo 6825,
8457,-31.3403739082738,-64.17987881922586,Alicia M. De Justo 6700,Esq. Mercedes Moreno
8458,-31.34094531789469,-64.17833042758515,Olmos 200,Esq. Albarracin
8459,-31.34052532466134,-64.17648809996761,Mercedes Moreno 0,Esq. Av. Juan B. Justo
7168,-31.34228313592195,-64.17623248763175,Av. Juan B. Justo 6500,Fte. Cordoba Rugby
7169,-31.34707872640386,-64.17620857497688,Av. Juan B. Justo 6000,Fte. Liceo Militar Regreso
7170,-31.34993122256039,-64.17625705764631,Av. Juan B. Justo 5671,Esq. Alberto Mascias
8460,-31.35271742129176,-64.17638036400427,Anchorena 5500,Esq. Jorge Eduardo Newbery
8461,-31.35337582002771,-64.18384577464897,Felipe Beltrame 5411,Esq. Horacio Anasagasti
8462,-31.35467386754841,-64.18475824630595,Carola Lorenzini 848,Esq. Myor. Arturo Luisoni
8463,-31.42715936206727,-64.18972436255902,Av Pueyrredon 71,Entre Obispo Trejo E Independencia
8464,-31.42968350393534,-64.1898309980879,Independencia 1180,Esq. Brasil
8465,-31.43239742496676,-64.19091932530237,Independencia 1446,Entre Santiago Temple Y Venezuela
7875,-31.44179136475394,-64.2042534446596,Av. Naciones Unidas 600,Entre Corro Y Av. Elpidio Gonzalez
7876,-31.44107333711657,-64.20777718150755,Av. Naciones Unidas 860,Esq. Pedro De Mendoza
8466,-31.44265202186425,-64.2085555449108,Paso De Los Andes 2850,Entre Domingo De Irala Y Manuel Astrada
8467,-31.44457881589362,-64.20906732273633,Paso De Los Andes 2988,Esq. Dr. Pablo Luis Mirizzi
8468,-31.44537089816794,-64.21059644467219,Manuel Baigorria 1154,Esq. Bustos Y Ferreyra
8469,-31.4463495437615,-64.21159553982342,Cacheuta 3300,Esq. Dr. Jose Pizarro
8470,-31.44811737605324,-64.21209500908991,Cacheuta 3492,Esq. Dr. Virgilio Moya
8471,-31.44968306542508,-64.21260037243533,Cacheuta 3644,Esq. Dr. Jose Clemente Lascano
8472,-31.45134357816096,-64.2130459996943,Cacheuta 3770,Esq. Tafi
8473,-31.4554746817717,-64.21421526964448,Cacheuta 4048,Entre Paso De La Patria Y Huiliches
8474,-31.45708521066987,-64.21474672336116,Cacheuta 4138,Entre Simon De Irondo Y Salustiano Zavalia
8475,-31.45871625852626,-64.21522408047633,Cacheuta 4350,Esq. Leopoldo Melo
8476,-31.47312857848453,-64.2391182943071,Av Curazao 2100,Esq. Jose Benito Cottolengo
8477,-31.47560683542075,-64.2448260842314,Av Curazao 2100,Esq. Publica
8478,-31.47642088393469,-64.24724026939666,Calle Publica Mz. 22 Lote 6,Entre Publica Y Publica
8479,-31.47751281959468,-64.2466550370617,Atlantida S/N,Esq. Publica
8480,-31.47806216183903,-64.24533794932854,Atlantida 2200,Esq. Curazao
8481,-31.48151464600628,-64.25372596808624,Usuahia S/N,Esq. Nantes
8482,-31.48149353543354,-64.25449977384395,Usuahia S/N,Esq. Avignon
8483,-31.48097393549428,-64.25343686500446,Nantes S/N,Entre Cherburgo Y Usuahia
8484,-31.48163809666905,-64.25089277752562,Usuahia S/N,Esq. Darien
8485,-31.48164751465744,-64.24945332088272,Usuahia S/N,Esq. Masaya
8486,-31.48166860708358,-64.24799887237212,Usuahia 2900,Esq. Punta Arenas
8487,-31.48166438494984,-64.24539137077801,Usuahia 2759,Entre Tegucigalpa Y Tikal
8488,-31.48166642855755,-64.24345315174553,Usuahia 2600,Esq. Pinar Del Rio
8489,-31.48169527646485,-64.2403704511962,Usuahia 2507,Esq. Oregon
8490,-31.48170407298909,-64.23775145333833,Usuahia 2305,Esq. Georgia
8491,-31.4816676302967,-64.23468693416811,Usuahia 2119,Esq. Rio Colorado
7637,-31.4830066405473,-64.2345770337377,Rio Colorado,Esq. Malaespina
7638,-31.48433445348308,-64.2346080732418,Rio Colorado 6022,Entre Bernasconi Y Cipolleti
7639,-31.48609564329395,-64.23458140789666,Rio Colorado 6184,Esq. Tunuyan
8492,-31.4862844820362,-64.23306180388451,Tunuyan 1975,Esq. Cleveland
8493,-31.48627416503162,-64.2302425046906,Tunuyan  Mz. 12 Casa 17,Entre Publica Y Publica
8494,-31.4864371199788,-64.22695702970725,Tunuyan Mz. 43 Lote 5,Entre Publica Y Publica
8495,-31.48432438867491,-64.2253043861451,Rio Negro Mz. 34 Lote 20,Plazoleta Ingreso B° Privado
8496,-31.4818249737583,-64.22472247610384,Rio Negro 6023,Esq. Usuahia
7653,-31.47404286635932,-64.22262253602999,Rio Negro,Esq. Bogota
7654,-31.47280631413431,-64.22231988162298,Rio Negro 5203,Esq. Tilcara
8497,-31.47157442096506,-64.22194494335754,Rio Negro 5109,Carmelo Ibarra
8498,-31.46899651472593,-64.2212505190639,Rio Negro 4885,Esq. Rio De Janeiro
8499,-31.46847153939028,-64.21946158169905,Defensa 1300,Fte. Hosp. Principe De Asturias
8500,-31.4670294033316,-64.21878667959068,Rio Quilpo 4800,Esq. Rio Ancasmayo
8501,-31.46556755053311,-64.2196298936638,Arroyo De La Reduccion 1330,Esq. Rio Tabaquillo
8502,-31.46644233077004,-64.22068231217663,Rio Negro,Esq. Llallagua
7575,-31.40833553179734,-64.18398188658841,Tablada 220,Esq General Paz
8503,-31.46704444521808,-64.22352909469691,Defensa 1500,Esq. Salinas Grandes
8504,-31.46632742049145,-64.22205250621559,Salinas Grandes 1500,Entre Rio De Cajon Y Llallagua
8505,-31.46566514902363,-64.21931513890098,Arroyo De La Reduccion 1337,Esq. Rio Tranquilo
8506,-31.46627179089389,-64.21867709314209,Rio Quilpo 4766,Esq. Arroyo De Lutti
8507,-31.46825459098008,-64.21920863870997,Rio Quipo 4852,Esq. Defensa
8508,-31.46815101099489,-64.22088212760734,Defensa 1388,Esq. Rio Negro
8509,-31.47003844111105,-64.22164532380121,Rio Negro 4984,Esq. La Amistad
8510,-31.47243707298607,-64.22231869364394,Rio Negro 5200,Esq. Tilcara
8511,-31.47447198379266,-64.22283273911665,Rio Negro 5350,Esq. Av. De Mayo
8512,-31.47625892450882,-64.22331819289708,Rio Negro 5500,Esq. Gobernacion
8513,-31.48151336857015,-64.22473262171027,Rio Negro 5850,Entre Luyada Y Usuahia
8514,-31.48370404278545,-64.22535353865766,Rio Negro 6000,Entre Publica Y Publica
8515,-31.48628867605542,-64.2260211880795,Rio Negro S/N,Esq. Tunuyan
8516,-31.48621735334454,-64.22794010423466,Tunuyan S/N,Esq. Av. Publica
8517,-31.48616940436127,-64.23042898866348,Tunuyan S/N,Entre Publica Y Publica
8518,-31.48618765282093,-64.23428123506218,Tunuyan S/N,Esq. Rio Colorado
7643,-31.48457714706172,-64.23445162874499,Rio Colorado,Entre Chole Choel Y Cipoletti
7644,-31.48290620402841,-64.23443460389466,Rio Colorado,Esq. Malaespina
7645,-31.48175306308298,-64.2344348927286,Rio Colorado 5859,Esq. Usuahia
8519,-31.48159302557297,-64.23631612547423,Usuahia 2172,Fte. Plaza
8520,-31.48158759570616,-64.23902546050327,Usuahia 2334,Esq. Albany
8521,-31.48156227840567,-64.24118101448146,Usuahia 2594,Esq. Armada Argentina
8522,-31.48155192197323,-64.24253125725633,Usuahua 2600,Esq. Cholutega
8523,-31.48153740461678,-64.24445529402846,Usuahia 2750,Entre Fernandina Y Tikal
8524,-31.48154527766012,-64.24811528218446,Usuahia 2950,Esq. Beliche
8525,-31.48151326966831,-64.24971416614919,Usuahia 3120,Entre Masaya Y Pasaje Sin Nombre
8526,-31.48154736487751,-64.25327278062704,Usuahia 3300,Esq. Nantes
8527,-31.48083482834553,-64.25345119991863,Nantes S/N,Entre Cherburgo Y Usuahia
8528,-31.48112531019955,-64.25471129880512,Avignon S/N,Entre Versalles Y Usuahia 
8529,-31.47777969798782,-64.24532113886532,Atlantida 2200,Entre Curazao Y Barbados Regreso
8530,-31.47730445246149,-64.24683054963376,Atlantida S/N,Esq. Publica Regreso
8531,-31.47611323043894,-64.2471376751546,Calle Publica Mz. 22 Lote 6,Entre Publica Y Publica
8532,-31.47567495791558,-64.24509940597363,America Central 2732,Esq. Publica Regreso
8533,-31.47614148103932,-64.24304283115512,America Central S/N,Esq. Curazao
8534,-31.47495249356935,-64.24114551686542,Av Curazao 2350,Esq. Luis Orione Regreso
8535,-31.48718953570467,-64.2406634735703,Calle 1 S/N,Primer Parada
8536,-31.48620246657794,-64.24168859755609,Calle Principal S/N,Entre Calle 1 Y Calle 2
8537,-31.48621098361974,-64.24320935166882,Calle Principal S/N,Esq. Calle 2
8538,-31.48583079724727,-64.24575546459708,Av Armada Argentina 3400,Ingreso Ucc
