"stop_id","stop_calle","stop_esquina","stop_lon","stop_lat","coord"
7033,"AV. DUARTE QUIROS 2757","ESQ. PJE. ALMIRANTE GUILLERMO BROWN",-64.2197798457,-31.4081748907,"-64.21988269635328,-31.40837521976625,0"
7034,"AV. DUARTE QUIROS 2615","ESQ. PADRE LOZANO",-64.2174696543,-31.4088050433,"-64.217983139746,-31.40898213887007,0"
7035,"AV. DUARTE QUIROS 2329","ESQ. PEDRO GOYENA",-64.2150791619,-31.4096382732,"-64.21501315157714,-31.40993709481116,0"
7036,"AV. DUARTE QUIROS 2159","ESQ. ANGEL FAUSTO AVALOS",-64.2131022296,-31.4103001727,"-64.2130796159293,-31.41056462328566,0"
7037,"AV. DUARTE QUIROS 1939","ESQ. INGENIERO JUAN M. LOPEZ",-64.2105749173,-31.4112289041,"-64.21054816335993,-31.41137144165898,0"
7038,"AV. DUARTE QUIROS 1717","ESQ. MIGUEL URRUTIA",-64.2085023395,-31.4118358514,"-64.20838669289825,-31.41204794177325,0"
7039,"AV. DUARTE QUIROS 1511","ESQ. STA. CRUZ (NUEVOCENTRO SHOPPING)",-64.2054013063,-31.4128571044,"-64.20530578800141,-31.41302673121329,0"
7040,"CASEROS 1051","ENTRE PASO DE LOS ANDES Y M. MORENO",-64.1989335519,-31.4142562475,"-64.198953579766,-31.41417722112374,0"
7041,"CASEROS 813","ESQ. GRAL. ARTIGAS",-64.1958224861,-31.4150465836,"-64.19579771936512,-31.41512717292699,0"
7042,"CORRO 125","ENTRE CASEROS Y 27 DE ABRIL",-64.193879415,-31.414644443,"-64.19405018827774,-31.41494852229668,0"
7043,"MARIANO FRAGUEIRO 58","ENTRE DEAN FUNES Y 9 DE JULIO",-64.1929690666,-31.4126360516,"-64.19320968471396,-31.41266184942882,0"
7044,"AV. COLON 545","ENTRE AV. FIGUEROA ALCORTA Y JUJUY",-64.1904986938,-31.41163773,"-64.19057462307005,-31.41153340841786,0"
7045,"AV. COLON 141","ENTRE GRAL. PAZ Y RIVERA INDARTE",-64.1851180482,-31.4128640083,"-64.18516996212414,-31.41314971533432,0"
7046,"AV. EMILIO OLMOS 70","ESQ. BERNARDINO RIVADAVIA",-64.1819291372,-31.4138198805,"-64.18197985034074,-31.41411576958258,0"
7047,"AV. MAIPU 150","ENTRE 25 DE MAYO Y EMILIO OLMOS",-64.179137586,-31.4152749488,"-64.17921545597731,-31.41570916380509,0"
7048,"AV. MAIPU 444","ENTRE CATAMARCA Y SARMIENTO",-64.1774848113,-31.4120647161,"-64.17775646200681,-31.41226350286886,0"
7049,"AV. MAIPU 684","ESQ. LIBERTAD",-64.1765058598,-31.4092958148,"-64.17675498651767,-31.40950196264729,0"
7050,"FRAY MAMERTO ESQUIU 1194","ESQ. CHARCAS",-64.174272397,-31.4046195328,"-64.17447453874217,-31.40486309292935,0"
7051,"AV. JUAN B. JUSTO 2260","ESQ. JOSE DE LA RETA",-64.1752109346,-31.4000888509,"-64.17576096884766,-31.40046725576046,0"
7052,"AV. JUAN B. JUSTO 2362","ENTRE EMILIO SOAJE Y MAGARIÑO CERVANTES",-64.1752104783,-31.3976750146,"-64.17579584344576,-31.39812425183196,0"
7053,"AV. JUAN B. JUSTO 2632","ENTRE GIANELLI Y JOSE E. AGÜERO",-64.1753831797,-31.3944336297,"-64.17581468314297,-31.39474916213693,0"
7054,"AV. JUAN B. JUSTO 2948","ESQ. INOCENTE CARCANO",-64.1754533583,-31.3908084218,"-64.17587282765982,-31.39119869531126,0"
7055,"AV. JUAN B. JUSTO 3258","ESQ. J. CORTAZAR",-64.1755286485,-31.3871135776,"-64.17589909274727,-31.38737288549031,0"
