stop_id,40.ida,40.reg,41.ida ,41.reg,42.ida,42.reg,43.ida,43.reg,44.ida,44.reg,50.ida,50.reg,51.ida,51.reg,52.ida,52.reg,53.ida,53.reg,54.ida,54.reg,55.ida,55.reg,d50.ida,d50.reg,500,501,600,601
7336,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7337,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7338,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7339,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7340,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7341,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7342,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7343,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,
7344,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,
7345,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,
7346,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,
7347,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,
7348,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,
7349,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,
7350,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,
7351,,,,,,,,,X,,,,,,X,,,,,,X,,,,,,,
7352,,,,,,,,,X,,,,,,X,,,,,,X,,,,,,,
7353,,,,,,,,,X,,,,,,X,,,,,,X,,,,,,,
7354,,,,,,,,,X,,,,,,X,,,,,,X,,,,,,,
7355,,,,,,,,,X,,,,,,X,,,,,,X,,,,,,,
7356,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,
7357,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,
7358,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,
7359,,,,,,,,,X,,X,,,X,X,,,,X,,,,,,,,,
7360,,,,,,,,,X,,,X,,X,X,,,X,,,,,,,,,,
7361,,,,,,,,,,,,X,,X,X,,,X,,,,,,,,,,
7362,,,,,,,,,X,,X,X,,X,X,,,X,,,,,,,,,,
7363,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7364,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7365,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7366,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7367,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
7368,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
