"stop_id","stop_name","stop_calle","stop_numero","stop_entre","stop_lat","stop_lon"
3368,"C3368","Ricardo Rojas",7900,"Huarpes y Udaondo",-31.334622,-64.272463
3369,"C3369","Ricardo Rojas",7330,"Mocovies y Tomas Garzon",-31.335045,-64.265272
3370,"C3370","Los Chañares",,"Noguchi y Los Algarrobos",-31.462124,-64.09493
3371,"C3371","Los Chañares",,"Los Algarrobos y Noguchi",-31.462124,-64.09493
3372,"C3372","Cno C. de los Remedios",,"Entre Sabattini y Marzazno",-31.460408,-64.105155
3373,"C3373","Cno C. de los Remedios",,"Entre Marzano y Sabattini",-31.460408,-64.105155
3374,"C3374","Calingasta",,"Esq. Radio María",-31.441059,-64.111297
3375,"C3375","Tulumba",,"Entre 2º y 3º bocacalle",-31.444157,-64.111084
2041,"C2041","Cangallo",3105,"Malabia y Pacheco de Melo",-31.44597,-64.11865
2043,"C2043","Cangallo",2803,"Acevedo y Thames",-31.44266,-64.11864
2004,"C2004","Cangallo",2900,"Ignacio Thames y Manuel Acevedo",-31.44277,-64.11865
2007,"C2007","Cangallo",3250,"Serrano y Antonio Sanchez",-31.44691,-64.1187
3376,"C3376","Las Heras",815,"Piñero y Barcala",-31.405371,-64.192575
3377,"C3377","Las Heras",467,"Pasando Lavalleja",-31.405635,-64.186945
3378,"C3378","Las Heras",,"Las Heras y Mestre",-31.405013,-64.184316
3379,"C3379","Gral. Paz",527,"Pasando Plazoleta",-31.408752,-64.184115
3380,"C3380","Jujuy ",334,"Santa Rosa y Rioja",-31.410061,-64.189219
3381,"C3381","Jujuy ",570,"Hombuerto 1º y Mestre",-31.40728,-64.188118
3382,"C3382","Ducasse",650,"Frente ACV",-31.404218,-64.188581
3384,"C3384","Ducasse",824,"Barcala y Sarratea",-31.403845,-64.19193
3385,"C3385","Ducasse",1034,"Avellaneda y Castro Barro",-31.403731,-64.194218
2160,"C2160","Larguia",6354,"Pompeyo Moneta y Humboldt",-31.33868,-64.24711
2161,"C2161","Larguia",,"Esquina Tamburini",-31.33938,-64.24986
2162,"C2162","Tamburini",,"Esquina Los Alemanes",-31.34139,-64.25124
2163,"C2163","Doering",6160,"Pompeyo y Bv. Los Alemanes",-31.34267,-64.24865
2333,"C2333","Doering",6193,"Frente a plaza de la Madre",-31.34262,-64.24858
2334,"C2334","Doering",6329,"Pompeya Moneta y Bv. Alemanes",-31.34219,-64.24971
2335,"C2335","Tamburini",6900,"Doering y Junas Larguia",-31.34139,-64.25102
2336,"C2336","Tamburini",7080,"Esquina con Larguia",-31.33963,-64.25033
2337,"C2337","Larguia",6354,"Esquina con Pompeyo Moneta",-31.33882,-64.2477
