route_id,start_time,headway_secs,end_time,service_id
b30,18:30:00,1200,21:30:00,H
b30,21:30:00,1200,22:30:00,H
b60,05:00:00,3600,06:00:00,H
b60,06:00:00,3480,08:30:00,H
b60,08:30:00,3600,12:00:00,H
b60,12:00:00,3480,13:30:00,H
b60,13:30:00,3600,18:30:00,H
b60,18:30:00,3480,21:30:00,H
b60,21:30:00,3600,22:30:00,H
b61,05:00:00,3600,06:00:00,H
b61,06:00:00,1800,08:30:00,H
b61,08:30:00,3600,12:00:00,H
b61,12:00:00,1800,13:30:00,H
b61,13:30:00,3600,18:30:00,H
b61,18:30:00,1800,21:30:00,H
b61,21:30:00,3600,22:30:00,H
b70,05:00:00,1800,06:00:00,H
b70,06:00:00,1200,08:30:00,H
b70,08:30:00,1800,12:00:00,H
b70,12:00:00,1200,13:30:00,H
b70,13:30:00,1800,18:30:00,H
b70,18:30:00,1200,21:30:00,H
b70,21:30:00,1800,22:30:00,H
b80,05:00:00,1800,06:00:00,H
b80,06:00:00,1200,08:30:00,H
b80,08:30:00,1800,12:00:00,H
b80,12:00:00,1200,13:30:00,H
b80,13:30:00,1800,18:30:00,H
b80,18:30:00,1200,21:30:00,H
b80,21:30:00,1800,22:30:00,H
d10,05:00:00,1500,06:00:00,H
d10,06:00:00,840,08:30:00,H
d10,08:30:00,1500,12:00:00,H
d10,12:00:00,840,13:30:00,H
d10,13:30:00,1500,18:30:00,H
d10,18:30:00,840,21:30:00,H
d10,21:30:00,1500,22:30:00,H
d20,05:00:00,1500,06:00:00,H
d20,06:00:00,1200,08:30:00,H
d20,08:30:00,1500,12:00:00,H
d20,12:00:00,1200,13:30:00,H
d20,13:30:00,1500,18:30:00,H
d20,18:30:00,1200,21:30:00,H
d20,21:30:00,1500,22:30:00,H
d30,05:00:00,1200,06:00:00,H
d30,06:00:00,900,08:30:00,H
d30,08:30:00,1200,12:00:00,H
d30,12:00:00,900,13:30:00,H
d30,13:30:00,1200,18:30:00,H
d30,18:30:00,900,21:30:00,H
d30,21:30:00,1200,22:30:00,H
d50,05:00:00,1200,06:00:00,H
d50,06:00:00,900,08:30:00,H
d50,08:30:00,1200,12:00:00,H
d50,12:00:00,900,13:30:00,H
d50,13:30:00,1200,18:30:00,H
d50,18:30:00,900,21:30:00,H
d50,21:30:00,1200,22:30:00,H
d80,05:00:00,1200,06:00:00,H
d80,06:00:00,900,08:30:00,H
d80,08:30:00,1200,12:00:00,H
d80,12:00:00,900,13:30:00,H
d80,13:30:00,1200,18:30:00,H
d80,18:30:00,900,21:30:00,H
d80,21:30:00,1200,22:30:00,H
TA,05:00:00,780,06:00:00,H
TA,06:00:00,420,08:30:00,H
TA,08:30:00,780,12:00:00,H
TA,12:00:00,420,13:30:00,H
TA,13:30:00,780,18:30:00,H
TA,18:30:00,420,21:30:00,H
TA,21:30:00,780,22:30:00,H
TA,22:30:00,1500,25:00:00,H
TB,05:00:00,720,06:00:00,H
TB,06:00:00,420,08:30:00,H
TB,08:30:00,720,12:00:00,H
TB,12:00:00,420,13:30:00,H
