stop_id,stop_calle,stop_numero,stop_frente,stop_esquina,stop_entre_a,stop_entre_b,stop_lat,stop_lon
4857,Cno. San Carlos,9900,,,,,-31.52484449371124,-64.16851446766674
4856,Cno. San Carlos,,,Callejón de Aguas Cordob.,,,-31.52876086488724,-64.16856191008485
4855,Rodriguez de Ruescas,462,,,Juan de Barrientos,Miguel de Mojica,-31.35753638763591,-64.19144025142194
4854,Rodriguez de Ruescas,517,,,Herrera y Guzman,Suarez de Figueroa,-31.35862469562302,-64.19031943370449
4853,Rodriguez de Ruescas,635,,,Bartolome Jaime,Tomas de Irobi,-31.35975780775242,-64.1892206044623
4852,Lazo de la Vega,898,,,Suarez Mejias,Rodriguez de Ruescas,-31.36096520340086,-64.18831002018901
4851,Lazo de la Vega,796,,,Tristán de Tejeda,Suarez Mejias,-31.36222766038258,-64.18998976732891
4850,Tristán de Tejeda,723,,,Juan de Burgos,Lazo de la Vega,-31.36359903859803,-64.19112185552837
5308,Bernardo de Irigoyen,1216,,,San Jeronimo,EE.UU,-31.4221578277718,-64.15547979512958
5309,Bernardo de Irigoyen,1032,,,Lopez y Planes,Argandoña,-31.4200210095498,-64.15518751418232
5300,Argandoña,4512,,,Salgari,Rio Uruguay,-31.42181067284638,-64.12713909170078
5301,Rio de la Plata,1007,,,Mar Chiquita,Argandoña,-31.42170589207428,-64.128900118405
5302,Rio de la Plata,909,,,Pasaje los Paraisos,Obispo Maldonado,-31.42076557936446,-64.12869761831527
5303,Rio de la Plata,721,,,Domingo Mateu ,Pasaje Saenz Peña,-31.41900735098249,-64.12882767804558
5304,Pasaje Saenz Peña,4210,,,Rio Parana,Rio Segundo,-31.41861311292885,-64.13057825221016
5305,Pasaje Saenz Peña,4009,,,Rio Primero,Cartechini,-31.4186179164927,-64.13296844120255
5306,Cartechini,889,,,Pasaje Bella Vista,Obispo Maldonado,-31.41955531685223,-64.13354480499298
5307,Cartechini,1089,,,Argandoña,Lopez y Planes,-31.42199975685421,-64.13350458599812
4329,Tomás Guido,1429,,,Copacavana,Tambo Nuevo,-31.39148398569856,-64.20010649849375
4328,Suquía,201,,Tomás Guido,Uspallata,Tomás Guido,-31.38976274875047,-64.20096424055575
4321,Los Granaderos,2239,,,Dobritzhofer,Triunvirato,-31.37910452079181,-64.20349983128725
4320,Los Granaderos,2375,,,Monseñor Pablo Cabrera,David Arguello,-31.37757564639781,-64.20540843247962
4323,Martín Pinzón,2206,,Córdoba,Gigena,Cordoba,-31.382523010268,-64.20054306691253
4322,Los Granaderos,2158,,,Triunvirato,Lastra,-31.3799578688276,-64.20246100658349
4325,José Colombres,2055,,,Patiño,Centenario,-31.38517360056772,-64.20152819255016
4324,Córdoba,4002,,José Colombres,Soldado Ruiz,José Colombres,-31.38348081227161,-64.20239027097537
4327,José Colombres,1613,,,Quizquizacate,Suquia,-31.38873238188835,-64.19919069534376
4326,José Colombres,1805,,,Amado Nervo,Salguero,-31.38690305333795,-64.20038185153476
5414,Solares,1752,,,Rosales,Junin,-31.42883221647496,-64.14246198098165
5415,Solares,1609,,,Pje Gral Pico,Corrientes,-31.42731916213709,-64.14225223244998
5417,Solares,1417,,,Agustin Garzon,Entre Rios,-31.42382386230842,-64.14241131788242
5410,Bancalari,1972,,,EL Chocon,Ariza,-31.43098074785343,-64.13643882910836
5411,Bancalari,2169,,,Damaso Centeno,Sabattini,-31.43202944173213,-64.1368339878903
5412,Sabattini,3655,,,Acosta,Leartes,-31.43153124685126,-64.13888983478377
5413,Lisandro de la Torre,1861,,,Pedernera ,Obispo Castellano,-31.43049502597799,-64.14096895284467
5418,San Jerónimo,3236,,,Diego de Torres,Solares,-31.42385184535354,-64.16206607002663
5419,Asuncion,1452,,,Entre Rios,Agustin Garzon,-31.42530192708299,-64.16225922497696
4215,V. Sarfield,51,,,Dean Funes,27 de Abril,-31.41541106044186,-64.18692742388686
4214,Colón,1141,,,Coronel Olmedo,Mendoza,-31.40910406634601,-64.1987235136081
4217,Hipolito Irigoyen,32,,,San Juan,Montevideo,-31.42102458306018,-64.18846681311567
4216,V. Sarfield,284,,,Caseros,Duarte Quiroz,-31.41845445032793,-64.18819785482339
4211,Monseñor Pablo Cabrera,4407,,,Carvia,Colodrero,-31.36403802256463,-64.20468131095092
4210,Monseñor Pablo Cabrera,4768,,,Circunvalacion,Garat,-31.36144621609957,-64.2042172514704
4213,Santa Fé ,347,,,La Rioja,Santa Rosa,-31.40653251657078,-64.20010695895184
4212,Monseñor Pablo Cabrera,4149,,,Bogliolo,Fray luis Beltran,-31.36717135296198,-64.2052830427598
4219,Hipolito Irigoyen,552,,,Ituzaingo,Larrañaga,-31.42741293961505,-64.1854530381204
4218,Hipolito Irigoyen,386,,,Ob.Oro,Bs As,-31.42408609854904,-64.18703274819124
5579,Florencio Parravicini,2800,,Martinez Paz,Perito Moreno,Martinez Paz,-31.37185745732515,-64.16946095863914
5578,Florencio Parravicini,3129,,Enrique Muiño,Luis Arata,Enrique Muiño,-31.37044366027989,-64.16559346210639
5577,Enrique Bauchs,3490,,Florencio Parravicini,Manuel Peirou,Florencio Parravicini,-31.36755740923669,-64.15710852792314
5576,Enrique Bauchs,3358,,,Marcó del Pont,Castro Torres,-31.36895139733329,-64.15640860065885
5575,San Fernando,1133,,,Ovejero,Orrego,-31.37016887041431,-64.15409038365637
5574,San Fernando,1257,,,Luis Py,Dionisio de Puch,-31.37070814523905,-64.15205291242695
5573,San Fernando,1420,,Alem,Rancagua,Alem,-31.37131329997889,-64.14979376110028
